Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
field_origin,3.2123E-16,0.014288,7.2928E-16,0,0,0,6.3939,1,1,1,1,1,1,0,0,0,0,0,0,package://field2020/meshes/field_origin.STL,1,1,1,1,0,0,0,0,0,0,package://field2020/meshes/field_origin.STL,,ShieldGenerator-1/GE-20047-1.STEP-1/GE-20052.STEP-1;ShieldGenerator-1/GE-20047.STEP-1/GE-20052.STEP-1;ShieldGenerator-1/GE-20046-2.STEP-1/GE-20051.STEP-1;ShieldGenerator-1/GE-20046-3.STEP-1/GE-20051.STEP-1;ShieldGenerator-1/GE-20046-1.STEP-1/GE-20051.STEP-1;ShieldGenerator-1/GE-20046.STEP-1/GE-20051.STEP-1,Origin_global,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
shield_generator,0,2.3831,0,0,0,0,73.308,1,1,1,1,1,1,0,0,0,0,0,0,package://field2020/meshes/shield_generator.STL,0.1,0.1,0.1,1,0,0,0,0,0,0,package://field2020/meshes/shield_generator.STL,,ShieldGenerator-1/GE-20043.STEP-2;ShieldGenerator-1/GE-20043.STEP-1;ShieldGenerator-1/GE-20041_GE-20041-Right-3.STEP-1/GE-20040.STEP-1;ShieldGenerator-1/GE-20041_GE-20041-Left.STEP-1/GE-20040.STEP-1;ShieldGenerator-1/GE-20041_GE-20041-Right-1.STEP-1/GE-20040.STEP-1;ShieldGenerator-1/GE-20044_Leg by Trench Side 1.STEP-2;ShieldGenerator-1/GE-20044_Leg by Trench Side 1.STEP-1;ShieldGenerator-1/GE-20043.STEP-11;ShieldGenerator-1/GE-20043.STEP-12;ShieldGenerator-1/GE-20041_GE-20041-Left-2.STEP-1/GE-20040.STEP-1;ShieldGenerator-1/GE-20041_GE-20041-Right.STEP-1/GE-20040.STEP-1;ShieldGenerator-1/GE-20041_GE-20041-Left-1.STEP-1/GE-20040.STEP-1;ShieldGenerator-1/GE-20043.STEP-4;ShieldGenerator-1/GE-20043.STEP-9;ShieldGenerator-1/GE-20043.STEP-5;ShieldGenerator-1/GE-20044_Leg by Trench Side 1.STEP-3;ShieldGenerator-1/GE-20043.STEP-7;ShieldGenerator-1/GE-20041_GE-20041-Right-2.STEP-1/GE-20040.STEP-1;ShieldGenerator-1/GE-20041_GE-20041-Left-3.STEP-1/GE-20040.STEP-1;ShieldGenerator-1/GE-20043.STEP-3;ShieldGenerator-1/GE-20044_Leg by Trench Side 1.STEP-4;ShieldGenerator-1/GE-20043.STEP-6;ShieldGenerator-1/GE-20043.STEP-10;ShieldGenerator-1/GE-20043.STEP-8;ShieldGenerator-1/GE-20005.STEP-1/GE-20005 - 01.STEP-1;ShieldGenerator-1/GE-20005-1.STEP-1/GE-20005 - 01.STEP-1;ShieldGenerator-1/GE-20005-2.STEP-1/GE-20005 - 01.STEP-1,Origin_origin_to_shield,Axis_origin_to_shield,origin_to_shield,fixed,0,0,0,1.5707963267949,0,1.9373154697137,field_origin,0,0,0,,,,,,,,,,,,
generator_switch,0,-0.67,0.13,0,0,0,10.747,1,1,1,1,1,1,0,0,0,0,0,0,package://field2020/meshes/generator_switch.STL,1,0.5,0.4,1,0,0,0,0,0,0,package://field2020/meshes/generator_switch.STL,,GeneratorSwitch-1/GE-20024_Blue-1.STEP-1/GE-20018_GE-20018-Blue-1.STEP-1/GE-20016.STEP-1;GeneratorSwitch-1/GE-20023_Blue.STEP-1/GE-20017_GE-20017-Blue.STEP-1/GE-20016.STEP-1;GeneratorSwitch-1/GE-20015-1.STEP-1/GE-20010-1.STEP-1/GE-20010 - 30-1.STEP-1/GE-20010 - 01.STEP-1;GeneratorSwitch-1/GE-20015-1.STEP-1/GE-20010-1.STEP-1/GE-20010 - 27-2.STEP-1/GE-20010 - 05.STEP-1;GeneratorSwitch-1/GE-20015-1.STEP-1/GE-20010-1.STEP-1/GE-20010 - 27-3.STEP-1/GE-20010 - 05.STEP-1;GeneratorSwitch-1/GE-20023_Blue-1.STEP-1/GE-20017_GE-20017-Blue-1.STEP-1/GE-20016.STEP-1;GeneratorSwitch-1/GE-20015-1.STEP-1/GE-20010-1.STEP-1/GE-20010 - 30-1.STEP-1/GE-20010 - 01.STEP-2;GeneratorSwitch-1/GE-20024_Blue.STEP-1/GE-20018_GE-20018-Blue.STEP-1/GE-20016.STEP-1;GeneratorSwitch-1/GE-20015-1.STEP-1/GE-20010-1.STEP-1/GE-20010 - 28-1.STEP-1/GE-20010 - 06.STEP-1;GeneratorSwitch-1/GE-20015-1.STEP-1/GE-20010-1.STEP-1/GE-20010 - 28-1.STEP-1/GE-20010 - 06.STEP-2;GeneratorSwitch-1/GE-20015-1.STEP-1/GE-20010-1.STEP-1/GE-20010 - 26-1.STEP-1/GE-20010 - 03.STEP-1;GeneratorSwitch-1/GE-20015-1.STEP-1/GE-20010-1.STEP-1/GE-20010 - 09.STEP-1;GeneratorSwitch-1/GE-20015-1.STEP-1/GE-20010-1.STEP-1/GE-20010 - 29-2.STEP-1/GE-20010 - 11.STEP-1;GeneratorSwitch-1/GE-20015-1.STEP-1/GE-20010-1.STEP-1/GE-20010 - 29-2.STEP-1/GE-20010 - 11.STEP-2;GeneratorSwitch-1/GE-20015-1.STEP-1/GE-20010-1.STEP-1/GE-20010 - 26-1.STEP-1/GE-20010 - 02.STEP-1;GeneratorSwitch-1/GE-20015-1.STEP-1/GE-20010-1.STEP-1/GE-20010 - 29-3.STEP-1/GE-20010 - 11.STEP-2;GeneratorSwitch-1/GE-20015-1.STEP-1/GE-20010-1.STEP-1/GE-20010 - 29-3.STEP-1/GE-20010 - 11.STEP-1;GeneratorSwitch-1/GE-20011-3.STEP-1/GE-20011 - 01.STEP-1;GeneratorSwitch-1/GE-20011-2.STEP-1/GE-20011 - 01.STEP-1;GeneratorSwitch-1/GE-20011-2.STEP-1/GE-20011 - 16-2.STEP-1/GE-20011 - 05.STEP-2;GeneratorSwitch-1/GE-20011-3.STEP-1/GE-20011 - 16-3.STEP-1/GE-20011 - 05.STEP-1;GeneratorSwitch-1/GE-20011-3.STEP-1/GE-20011 - 16-3.STEP-1/GE-20011 - 05.STEP-2;GeneratorSwitch-1/GE-20011-2.STEP-1/GE-20011 - 16-2.STEP-1/GE-20011 - 05.STEP-1,Origin_shield_generator_to_switch,Axis_shield_generator_to_switch,shield_generator_to_switch,continuous,-0.038100000000078,2.8199999999998,0.791837932304479,0,0,0,shield_generator,0,0,1,,,,,,,,,,,,
alliance_wall,0.94,1,-4.73,0,0,0,96.516,1,1,1,1,1,1,0,0,0,0,0,0,package://field2020/meshes/alliance_wall.STL,0.1,0.1,0.1,1,0,0,0,0,0,0,package://field2020/meshes/alliance_wall.STL,,AllianceSide-1/FE-00004.STEP-1/FE-00004-01.STEP-1;AllianceSide-1/GE-20200_Default_Red.STEP-1/GE-20221_GE-20221_Red.STEP-1/GE-20220_GE-20220-Red.STEP-1/GE-20220-Vinyl_GE-20220-Red-Vinyl.STEP-1;AllianceSide-1/FE-00004-1.STEP-1/FE-00004-01.STEP-1;AllianceSide-1/GE-20300_Blue.STEP-1/GE-20321_GE-20321-Blue.STEP-1/GE-20314.STEP-1;AllianceSide-1/GE-20329_GE-20329-Blue.STEP-1/GE-20331_GE-20331-Blue.STEP-1/GE-20327.STEP-1;AllianceSide-1/GE-20330_GE-20330-Blue.STEP-1/GE-20332_GE-20332-Blue.STEP-1/GE-20327.STEP-1;AllianceSide-1/GE-20300_Blue.STEP-1/GE-20301_Blue.STEP-1/GE-20322_Blue.STEP-1/GE-20320_GE-20320-Blue.STEP-1/GE-20320-Vinyl_GE-20320-Blue-Vinyl.STEP-1;AllianceSide-1/FE-00004-2.STEP-1/FE-00004-01.STEP-1;AllianceSide-1/FE-00002.STEP-1/FE-00002-03.STEP-1;AllianceSide-1/FE-00001.STEP-1/FE-00001-05.STEP-1;AllianceSide-1/FE-00001-2.STEP-1/FE-00001-05.STEP-1;AllianceSide-1/FE-00002_Right.STEP-1/FE-00002-03_Right.STEP-1;AllianceSide-1/GE-20300_Blue.STEP-1/GE-20301_Blue.STEP-1/GE-20304.STEP-1;AllianceSide-1/GE-20300_Blue.STEP-1/GE-20339.STEP-1/GE-20315.STEP-1;AllianceSide-1/GE-20300_Blue.STEP-1/GE-20316.STEP-1;AllianceSide-1/GE-20300_Blue.STEP-1/GE-20301_Blue.STEP-1/GE-20304.STEP-2;AllianceSide-1/GE-20300_Blue.STEP-1/GE-20338.STEP-1/GE-20315.STEP-1;AllianceSide-1/GE-20300_Blue.STEP-1/GE-20398.STEP-1;AllianceSide-1/GE-20300_Blue.STEP-1/GE-20390.STEP-1/GE-20391.STEP-1;AllianceSide-1/GE-20300_Blue.STEP-1/GE-20390.STEP-1/GE-20392.STEP-1;AllianceSide-1/GE-20300_Blue.STEP-1/GE-20390.STEP-1/GE-20392.STEP-2;AllianceSide-1/GE-20300_Blue.STEP-1/GE-20301_Blue.STEP-1/GE-20307.STEP-1;AllianceSide-1/GE-20200_Default_Red.STEP-1/GE-20210.STEP-1/GE-20212.STEP-1;AllianceSide-1/GE-20200_Default_Red.STEP-1/GE-20205.STEP-1/GE-20207.STEP-1;AllianceSide-1/GE-20200_Default_Red.STEP-1/GE-20205-1.STEP-1/GE-20207.STEP-1;AllianceSide-1/GE-20200_Default_Red.STEP-1/GE-20210.STEP-1/GE-20211.STEP-2;AllianceSide-1/GE-20200_Default_Red.STEP-1/GE-20205-1.STEP-1/GE-20206.STEP-2;AllianceSide-1/GE-20200_Default_Red.STEP-1/GE-20205.STEP-1/GE-20206.STEP-2;AllianceSide-1/GE-20200_Default_Red.STEP-1/GE-20210.STEP-1/GE-20211.STEP-1;AllianceSide-1/GE-20200_Default_Red.STEP-1/GE-20205.STEP-1/GE-20206.STEP-1;AllianceSide-1/GE-20200_Default_Red.STEP-1/GE-20205-1.STEP-1/GE-20206.STEP-1;AllianceSide-1/GE-20200_Default_Red.STEP-1/GE-20210.STEP-1/GE-20214.STEP-2;AllianceSide-1/GE-20200_Default_Red.STEP-1/GE-20210.STEP-1/GE-20214.STEP-1;AllianceSide-1/FE-00004.STEP-1/FE-00004-06.STEP-1;AllianceSide-1/FE-00004-1.STEP-1/FE-00004-06.STEP-1;AllianceSide-1/FE-00004-2.STEP-1/FE-00004-06.STEP-1,Origin_origin_to_wall,Axis_origin_to_wall,origin_to_wall,fixed,4.05377805746124,-7.36218144785001,0,1.5707963267949,0,1.91986217719377,field_origin,0,0,0,,,,,,,,,,,,
reflective_tapes,0.433,-0.951,0.0016,0,0,0,0.34178,1,1,1,1,1,1,0,0,0,0,0,0,package://field2020/meshes/reflective_tapes.STL,1,1,1,1,0,0,0,0,0,0,package://field2020/meshes/reflective_tapes.STL,,AllianceSide-1/GE-20300_Blue.STEP-1/GE-20301_Blue.STEP-1/GE-20322_Blue.STEP-1/Vision_PowerPort.STEP-2;AllianceSide-1/GE-20300_Blue.STEP-1/GE-20301_Blue.STEP-1/GE-20322_Blue.STEP-1/Vision_PowerPort.STEP-1;AllianceSide-1/GE-20300_Blue.STEP-1/GE-20301_Blue.STEP-1/GE-20322_Blue.STEP-1/Vision_PowerPort.STEP-3;AllianceSide-1/GE-20200_Default_Red.STEP-1/GE-20221_GE-20221_Red.STEP-1/Vision_LoadingBay.STEP-3;AllianceSide-1/GE-20200_Default_Red.STEP-1/GE-20221_GE-20221_Red.STEP-1/Vision_LoadingBay.STEP-2;AllianceSide-1/GE-20200_Default_Red.STEP-1/GE-20221_GE-20221_Red.STEP-1/Vision_LoadingBay.STEP-1;AllianceSide-1/GE-20200_Default_Red.STEP-1/GE-20221_GE-20221_Red.STEP-1/Vision_LoadingBay.STEP-4,Origin_wall_to_reflective_tapes,Axis_wall_to_reflective_tapes,wall_to_reflective_tapes,fixed,1.21328331594503,2.46857332088113,-5.16835970970136,-1.17293321274731,0.489116666389105,-1.37583904498449,alliance_wall,0,0,0,,,,,,,,,,,,
trench_pass,0.7047,-0.1072,-0.3805,0,0,0,13.144,1,1,1,1,1,1,0,0,0,0,0,0,package://field2020/meshes/trench_pass.STL,0.1,0.1,0.1,1,0,0,0,0,0,0,package://field2020/meshes/trench_pass.STL,,Trench-1/GE-20162.STEP-1/GE-20114.STEP-1;Trench-1/GE-20163-1.STEP-1/GE-20115.STEP-1;Trench-1/GE-20163.STEP-1/GE-20115.STEP-1;Trench-1/GE-20161-1.STEP-1/GE-20101-1.STEP-1/GE-20101-03_right.STEP-1;Trench-1/GE-20162.STEP-1/GE-20102.STEP-1/GE-20102-01.STEP-1;Trench-1/GE-20161.STEP-1/GE-20101.STEP-1/GE-20101-03.STEP-1;Trench-1/GE-20160_hinged top.STEP-1/GE-20140-03.STEP-3;Trench-1/GE-20160_hinged top.STEP-1/GE-20140-01.STEP-1;Trench-1/GE-20142.STEP-1;Trench-1/GE-20160_hinged top.STEP-1/GE-20140-03.STEP-1;Trench-1/GE-20162.STEP-1/GE-20102.STEP-1/GE-20102-01.STEP-2;Trench-1/GE-20161-1.STEP-1/GE-20101-1.STEP-1/GE-20101-03.STEP-1;Trench-1/GE-20161.STEP-1/GE-20101.STEP-1/GE-20101-03_right.STEP-1;Trench-1/GE-20160_hinged top.STEP-1/GE-20140-03.STEP-2;Trench-1/GE-20160_hinged top.STEP-1/GE-20140-03.STEP-4,Origin_origin_to_trench,Axis_origin_to_trench,origin_to_trench,fixed,-4.10604347347494,0.76253340000001,0.74929999999978,1.5707963267949,0,0,field_origin,0,0,0,,,,,,,,,,,,
control_panel,0,0.025,0,0,0,0,6.6013,1,1,1,1,1,1,0,0,0,0,0,0,package://field2020/meshes/control_panel.STL,1,0.5,0.2,1,0,0,0,0,0,0,package://field2020/meshes/control_panel.STL,,ControlPanel-1/GE-20106.STEP-1/GE-20107.STEP-1;ControlPanel-1/GE-20105.STEP-1/GE-20107.STEP-1;ControlPanel-1/Threaded_standoff_.25_1.5_93330A662.STEP-4;ControlPanel-1/Threaded_standoff_.25_1.5_93330A662.STEP-2;ControlPanel-1/Threaded_standoff_.25_1.5_93330A662.STEP-9;ControlPanel-1/Threaded_standoff_.25_1.5_93330A662.STEP-10;ControlPanel-1/Threaded_standoff_.25_1.5_93330A662.STEP-6,Origin_trench_to_control_panel,Axis_trench_to_control_panel,trench_to_control_panel,continuous,0.70485000000005,0.0143002000000783,-0.381640079999943,0,-0.258746013027073,0,trench_pass,0,1,0,,,,,,,,,,,,
red_bumps,0.841,0.013,-0.429,0,0,0,3.6706,1,1,1,1,1,1,0,0,0,0,0,0,package://field2020/meshes/red_bumps.STL,1,0,0,1,0,0,0,0,0,0,package://field2020/meshes/red_bumps.STL,,ShieldGenerator-1/GE-20049-1.STEP-1/GE-20054_GE-20054-red.STEP-1;ShieldGenerator-1/GE-20048_red.STEP-1/GE-20053_GE-20053-red.STEP-1;ShieldGenerator-1/GE-20049.STEP-1/GE-20054_GE-20054-red.STEP-1;ShieldGenerator-1/GE-20048_red-1.STEP-1/GE-20053_GE-20053-red.STEP-1,Origin_origin_to_red_bumps,Axis_origin_to_red_bumps,origin_to_red_bumps,fixed,-1.91965602804253,0.164619781045379,0.00158750000004459,1.5707963267949,0,-1.2042771838761,field_origin,0,0,0,,,,,,,,,,,,
blue_bumps,-0.841,0.013,-0.429,0,0,0,3.6706,1,1,1,1,1,1,0,0,0,0,0,0,package://field2020/meshes/blue_bumps.STL,0,0,1,1,0,0,0,0,0,0,package://field2020/meshes/blue_bumps.STL,,ShieldGenerator-1/GE-20049_blue.STEP-1/GE-20054_GE-20054-blue.STEP-1;ShieldGenerator-1/GE-20048_blue.STEP-1/GE-20053_GE-20053-blue.STEP-1;ShieldGenerator-1/GE-20049_blue-1.STEP-1/GE-20054_GE-20054-blue.STEP-1;ShieldGenerator-1/GE-20048_blue-1.STEP-1/GE-20053_GE-20053-blue.STEP-1,Origin_origin_to_blue_bumps,Axis_origin_to_blue_bumps,origin_to_blue_bumps,fixed,1.31690456888337,1.40701899141796,0.00158749999997582,1.57079632679498,0,1.9373154697137,field_origin,0,0,0,,,,,,,,,,,,
zone_perimeters,5.341,0,4.107,0,0,0,2.1766,1,1,1,1,1,1,0,0,0,0,0,0,package://field2020/meshes/zone_perimeters.STL,1,1,1,1,0,0,0,0,0,0,package://field2020/meshes/zone_perimeters.STL,,FieldFloor-1/Tape_TrenchRun_Blue.STEP-1;FieldFloor-1/Tape_LoadingZone_Red.STEP-1;FieldFloor-1/Tape_TargetZone_Blue.STEP-1;FieldFloor-1/Tape_TrenchRun_Red.STEP-1;FieldFloor-1/Tape_InitiationLine.STEP-2,Origin_origin_to_zone_perimeters,Axis_origin_to_zone_perimeters,origin_to_zone_perimeters,fixed,-4.10604347347495,2.7432,0,-1.5707963267949,0,-1.5707963267949,field_origin,0,0,0,,,,,,,,,,,,
